cluster_size,average,complete,ward,single,coeff_avg
3.0,-0.08109305053949356,0.011607032269239426,0.3688388764858246,-0.163812518119812,0.033885084092617035
5.0,-0.2679700553417206,0.1118902936577797,0.4708826243877411,-0.18472935259342194,0.03251837566494942
7.0,-0.28760144114494324,0.0946689024567604,0.5959005951881409,-0.21078495681285858,0.048045773059129715
8.0,-0.17689304053783417,0.1303214132785797,0.6526356339454651,-0.21128657460212708,0.09869436174631119
9.0,-0.18955224752426147,0.14121709764003754,0.6190056204795837,-0.25910404324531555,0.07789161056280136
10.0,-0.1985059529542923,0.15565529465675354,0.570522665977478,-0.2725295126438141,0.063785620033741
11.0,-0.215020552277565,0.15728214383125305,0.556293249130249,-0.27309948205947876,0.05636383593082428
12.0,-0.2153584510087967,0.12079057842493057,0.5310315489768982,-0.28443023562431335,0.03800836205482483
15.0,-0.17823854088783264,0.08882966637611389,0.4415103495121002,-0.2995125651359558,0.013147227466106415
17.0,-0.19221152365207672,0.08441577106714249,0.44303223490715027,-0.3280748128890991,0.0017904192209243774
20.0,0.08104289323091507,0.1265544444322586,0.3854753375053406,-0.35346782207489014,0.05990120768547058
21.0,0.08113350719213486,0.12719205021858215,0.33059433102607727,-0.3994067907333374,0.034878283739089966
23.0,0.0790511816740036,0.09389322251081467,0.30337798595428467,-0.39945152401924133,0.01921771466732025
24.0,0.05007386580109596,0.09084122627973557,0.2716338634490967,-0.42149561643600464,-0.002236664295196533
25.0,0.03209713101387024,0.09054087847471237,0.2656523585319519,-0.4219420552253723,-0.0084129199385643
26.0,0.02931137941777706,0.08924529701471329,0.22083713114261627,-0.42330190539360046,-0.020977027714252472
27.0,0.028708260506391525,0.08927646279335022,0.216024711728096,-0.4235835075378418,-0.022393517196178436
28.0,0.028483202680945396,0.24197573959827423,0.2171068787574768,-0.4308512806892395,0.014178633689880371
29.0,0.02827850729227066,0.23563145101070404,0.21666862070560455,-0.45736655592918396,0.005803011357784271
30.0,0.0239886287599802,0.23053036630153656,0.21699561178684235,-0.45753076672554016,0.0034959539771080017
