cluster_size,average,complete,ward,single
3.0,0.002269747667014599,0.050013523548841476,0.21020936965942383,-0.10461106896400452
5.0,0.10056640952825546,0.03971649333834648,0.29045185446739197,-0.1887015551328659
7.0,0.1280110776424408,0.04025574401021004,0.37880802154541016,-0.20914171636104584
8.0,0.09813454002141953,0.032267097383737564,0.4194084405899048,-0.25184255838394165
9.0,0.16763821244239807,0.030314963310956955,0.43572208285331726,-0.25763481855392456
10.0,0.23442143201828003,0.035674940794706345,0.423721581697464,-0.26429346203804016
11.0,0.275692880153656,0.008714614436030388,0.41200634837150574,-0.2698817849159241
12.0,0.26105210185050964,-0.004508062731474638,0.40698859095573425,-0.29072892665863037
15.0,0.2214687466621399,-0.009726111777126789,0.37037205696105957,-0.2952103614807129
17.0,0.2797582447528839,-0.03319177031517029,0.34950876235961914,-0.30285611748695374
20.0,0.26320090889930725,-0.04703500494360924,0.2823711037635803,-0.31289154291152954
21.0,0.25663161277770996,-0.03653012588620186,0.2920515239238739,-0.3206738829612732
23.0,0.25307515263557434,-0.05042170733213425,0.2811531722545624,-0.3288443088531494
24.0,0.2502286732196808,-0.04651236534118652,0.2705056369304657,-0.3603702783584595
25.0,0.24858146905899048,-0.03614342212677002,0.25935617089271545,-0.36045628786087036
26.0,0.2809750437736511,-0.04839733615517616,0.25421732664108276,-0.36271241307258606
27.0,0.2800878882408142,-0.033258259296417236,0.251102477312088,-0.36352309584617615
28.0,0.2782740592956543,-0.03721920773386955,0.2379114329814911,-0.3654096722602844
29.0,0.2749137878417969,-0.06923238188028336,0.23213379085063934,-0.36615222692489624
30.0,0.27454960346221924,-0.07216844707727432,0.22970746457576752,-0.3705650866031647
